LEGAL_NAME,DOT_NUMBER,POWER_UNITS,FLEETSIZE,TOTAL_DRIVERS,PHY_CITY,PHY_STATE,PHY_STREET,PHY_ZIP,PHONE,EMAIL_ADDRESS,PRIMARY_SOURCE,WEBSITE,LINKEDIN,STATUS,NOTES
ROLESA TRANSPORT LLC,2557404,153,Q,135,RIO GRANDE CITY,TX,6197 E HWY 83,78582,9565138004,ramiro@rolesatransport.com,,,,,
GCC SUN CITY MATERIALS LLC,2934135,153,Q,100,EL PASO,TX,1 MCKELLIGON CANYON RD,79930-2634,9155654681,eescobedo@GCC.COM,,,,,
JMR SERVICES LLC,2868934,152,Q,43,MIDLAND,TX,4706 GREEN TREE BLVD,79707,4326181050,ccox@jmrservices.com,,,,,
COWBOY'S READY MIX LLC,2531274,150,Q,121,WALLISVILLE,TX,24015 INTERSTATE 10,77597,2819727000,INFO@COWBOYSREADYMIX.COM,,,,,
ALL TIME LOGISTICS INC,2475440,150,Q,150,DALLAS,TX,4700 IRVING BLVD STE 200A,75247,9728728455,SAFETY@ALLTIMELOGISTICS.NET,,,,,
ABURO TRANSPORTATION LLC,3508894,150,Q,255,ARLINGTON,TX,835 E LAMAR BLVD PMB207,76011,2064304276,ABUROTRANSPORTATIONLLC@GMAIL.COM,,,,,
PATTERSON PROFESSIONAL SERVICES,7860952,148,Q,12,COLLINSVILLE,TX,9963 US HIGHWAY 377,76233-2794,9034293008,PATTPROSERV@AOL.COM,,,,,
WS ENERGY SERVICES LLC,2421627,148,Q,56,ROBSTOWN,TX,709 EAST MAIN AVENUE,78380,,rkopycinski@wseservices.com,,,,,
PATTERSON MOTOR FREIGHT LLC,1061388,148,Q,120,THE WOODLANDS,TX,24955 INTERSTATE 45 NORTH STE 300,77380,8325186399,dkepple@rigrunnerinc.com,,,,,
ARALO EXPRESS USA INC,2962661,147,Q,139,LAREDO,TX,1902 W CALTON RD,78041,9566082015,ARALOEXPRESSUSA@ARALOEXPRESS.COM.MX,,,,,
WHITE LINE SYSTEMS LLC,3275987,147,Q,228,KYLE,TX,19200 MARKETPLACE AVENUE SUITE 102,78640,8176804432,jwhite@whitelinesys.com,,,,,
ROCKIN S TRUCKIN INC,1881356,146,Q,143,WEATHERFORD,TX,5751 WHITE SETTLEMENT RD,76087,8176094999,mike@rockinstruckin.com,,,,,
SCHST LLC,593350,146,Q,129,HOUSTON,TX,12214 AQUEDUCT RD,77044-5212,2812276300,safetydept@quantixscs.com,,,,,
BALKAN EXPRESS LLC,1597774,145,Q,160,FORT WORTH,TX,2560 E LONG AVENUE,76137,8179241410,RASO@BALKANEXPRESSLLC.COM,,,,,
PDSD SHIPPING LLC,4176227,145,Q,4,KEMP,TX,15429 FLUD RD,75143,2149515794,SHAY081988@GMAIL.COM,,,,,
MARITIME SERVICES LTD,337587,144,Q,84,HOUSTON,TX,8200 TELEPHONE RD,77061-4039,7136743544,ogaray@maritimeserv.com,,,,,
SOUTHERN LIFTING AND HOISTING LLC,3073572,144,Q,157,KILGORE,TX,2409  STATE HWY 135 N,75662,9039810888,Ulaunda@southernliftingandhoisting.com,,,,,
USA PLAN LLC,4332892,144,Q,145,GEORGETOWN,TX,1732 LAKOTA LN,78628,9802550557,kohl.crump@yahoo.com,,,,,
TEXSTAR ENTERPRISES LLC,1767665,144,Q,136,SELMA,TX,17090 JORDAN ROAD,78154,2106568775,matthew.howard@texstarenterprises.com,,,,,
U-HAUL CO OF TEXAS,428480,141,Q,245,GRAND PRAIRIE,TX,920 SOUTH MACARTHUR BLVD,75050,6022636811,GODFREY_HALL@UHAUL.COM,,,,,
VALLEY PROTEINS LLC,36807,141,Q,135,IRVING,TX,5601 N MACARTHUR,75038,9722814444,shenley@darlingii.com,,,,,
DUNAVANT TRANS GULF TRANSPORTATION LLC,551712,141,Q,141,LA PORTE,TX,437 INDEPENDENCE PKWY S,77571,,chris.mcmahan@dunavant.com,,,,,
CODYSUR TRUCKS INC,1184128,141,Q,138,SAN BENITO,TX,30351 E BUSINESS 77,78586,9562769656,CYNTHIA.HERNANDEZ@CODYSURGROUP.COM,,,,,
ROYAL EXPRESS INC,838117,140,Q,151,LAREDO,TX,12125 JEF DRIVE,78045,9567228891,safety@royalexpressinc.com,,,,,
RJ LEASING LLC,1384545,140,Q,1,EL PASO,TX,12283 ROJAS,79936,9156425582,MARY.JANE@BORDERINT.COM,,,,,
LHOIST NORTH AMERICA,117044,140,Q,135,CLIFTON,TX,2861 FM 2602,76634-0473,2546758668,Daniel.rimberg@lhoist.com,,,,,
EM TRANSPORTATION SERVICES LLC,1449832,140,Q,117,BRYAN,TX,675 PHIL GRAMM BLVD,77807,9793142634,riki.McCarver@ecomaterial.com,,,,,
GENESIS ENDEAVORS LLC,2283956,139,Q,130,KILGORE,TX,1120 MARVIN A SMITH RD,75662,9039858150,CSERRANO@GENESISENDEAVORS.COM,,,,,
5J OILFIELD TRUCKING LLC,4221957,138,Q,108,PALESTINE,TX,4090 N US HIGHWAY 79,75801,9037248176,GLOHMEYER@5JOFTRUCKING.COM,,,,,
PIPELINE SUPPLY & SERVICE LLC,1130759,138,Q,80,HOUSTON,TX,10507 ELLA BLVD STE 100,77038,7137418147,BLAKE.LIMBAUGH@PSSIGROUP.COM,,,,,
WOOD GROUP USA INC,3028662,138,Q,47,HOUSTON,TX,17325 PARK ROW,77084,4064801370,shawn.fasching@woodplc.com,,,,,
PURGE RITE LLC,2939261,136,Q,62,WILLIS,TX,13802 N HIGHWAY 75,77378-3418,9363446210,TJ@PURGERITE.COM,,,,,
KBOLA LLC,3353418,136,Q,68,ODESSA,TX,2600 FM 866,79763-3038,4324380420,kbolallc@gmail.com,,,,,
BROTHERS PRODUCE INC,1058826,135,Q,99,HOUSTON,TX,3173 PRODUCE ROW,77023,7139244196,chenderson@brothersproduce.com,,,,,
SAW TRANSIT LLC,2927239,135,Q,115,PANTEGO,TX,2106 W PIONEER PKWY SUITE 131,76013,6822849946,STLLC@SAWTRANSITLLC.COM,,,,,
REVEILLE TRUCKING INC,592668,134,Q,143,HARLINGEN,TX,1615 WILSON RD,78550,9564401975,tim@reveilletruck.com,,,,,
FRONTIER TANK LINES INC,778718,134,Q,177,MCKINNEY,TX,6850 TPC DR STE 200,75070,9726713110,BDAWSON@FRONTIERTANKLINES.COM,,,,,
MEGA CARGO FREIGHT INC,3329965,134,Q,158,DALLAS,TX,2202 MANANA DR SUITE 124,75220,2144327717,INFO@MEGACARGOFREIGHT.COM / dispatch1@megacargofre,,,,,
TECHLINE CONSTRUCTION LLC,1666690,134,Q,50,AUSTIN,TX,9609 BECK CIRCLE,78758,,shelly.inman@techline-inc.com,,,,,
ENERFLEX ENERGY SYSTEMS INC,1475647,133,Q,90,HOUSTON,TX,10815 TELGE RD,77095,2813459300,ANJOHNSON@ENERFLEX.COM,,,,,
UNIVERSTEXAS LLC,4292338,133,Q,143,DALLAS,TX,9220 CENTRAL EXPRESS,75241,8002339445,PCANADAY@UNIVERSALLOGISTICS.COM,,,,,
AMERICAN TRACK LLC,3147592,132,Q,195,FT WORTH,TX,3950 FOSSIL CREEK BLVD STE106,76137,8172015128,jmccomas@americantrack.com,,,,,
E D C TRANSPORTATION LLC,1699067,132,Q,180,EL PASO,TX,13023 PELLICANO DR,79928,9152086455,dispatch@edctrucking.com,,,,,
WHITNEY TRANSPORT NORTH AMERICA LLC,3769949,132,Q,132,POWDERLY,TX,9316 US HWY 271 N,75473,,arnolddiaz@milesaheadbrands.com,,,,,
MUNOZ TRUCKING INC,678899,132,Q,126,EL PASO,TX,12460 WEAVER RD,79928,9158527722,sol@munoztruckinginc.com,,,,,
2131 TRANSPORTATION LLC,3762851,130,Q,130,SAGINAW,TX,625 SAWYER DR,76179,9803335652,admin@2131trucking.com,,,,,
J&M BURNS TRANSPORTATION INC,3059391,130,Q,130,MIDLAND,TX,1400 W COUNTY ROAD 130,79706,8067812852,MIke@JANDMBURNS.COM,,,,,
AUSTIN BRIDGE & ROAD LP,59837,129,Q,108,COPPELL,TX,1199 S BELT LINE RD SUITE 110,75019,2145967300,DENJOHNSON@austin-ind.com,,,,,
CLEARWELL WELL SERVICES LLC,1485979,129,Q,67,SAN ANTONIO,TX,1250 NE LOOP 410 #1000,78209,2108287689,DOT@clearwellus.com,,,,,
PREMIER 1 TRUCKING LLC,3187957,128,Q,146,HIDALGO,TX,1301 N STATE HIGHWAY 336,78557,9562131400,safety@PREMIER1TRUCKINGLLC.COM,,,,,
TUTLE & TUTLE TRUCKING INC,1058705,128,Q,99,CLEBURNE,TX,3672 HWY 67 W,76033,,bekah@tutleandtutle.com,,,,,
FACILITY SOLUTIONS GROUP INC,1779788,127,Q,167,AUSTIN,TX,4401 WESTGATE BLVD #310,78745,5124407985,PAUL.BARKDULL@FSGI.COM,,,,,
THE MEN'S WEARHOUSE LLC,238924,126,Q,129,HOUSTON,TX,10485 W BELLFORT ST,77031,4844679972,richard.sullivan@talloredbrands.com,,,,,
MILLER ENVIRONMENTAL SERVICES LLC,728026,126,Q,102,CORPUS CHRISTI,TX,401 NAVIGATION BLVD,78408,3612899800,smendoza@MILLER-IS.COM,,,,,
STATEWIDE MATERIALSTRANSPORT LEASING LTD,1936157,126,Q,129,MANOR,TX,14411 HWY 290 EAST,78653,5122797625,sblake@statewidematerials.com,,,,,
SHARK TRUCKING INC,541564,126,Q,121,HOUSTON,TX,12106 MESA DR SUITE A102,77016,2814582649,sales@SHARKTRUCKING.COM,,,,,
KEY ENERGY SERVICES LLC,669888,125,Q,206,HOUSTON,TX,1500 CITYWEST BLVD STE 800,77042,7136514300,PBROUGHTON@KEYENERGY.COM,,,,,
GTG TRANSPORTATION LLC,3917139,125,Q,125,FORT WORTH,TX,1300 SUMMIT AVENUE SUITE 520,76102,4699918008,GTGTRANSPORTATION2022@GMAIL.COM,,,,,
ARSH BROTHERS INC.,6172104,124,Q,124,DALLAS,TX,4700 IRVING BLVD,75247-5708,2145063991,safety@arshbrothersinc.com,,,,,
K-3 RESOURCES LP,1083375,124,Q,96,BROOKSHIRE,TX,9458 FM 362,77423,2813755778,kevint@k3bmi.com,,,,,
SAFA LOGISTICS LLC,3628967,124,Q,155,ARLINGTON,TX,4101 VIRIDIAN VILLAGE DR #3318,76005,6824150003,SAFALOGISTICS1@GMAIL.COM,,,,,
UNIMEX LOGISTICS LLC,1970020,124,Q,142,PHARR,TX,700 W ANAYA,78577,9562138150,SAFETYFREIGHT@UNIMEXGROUP.COM,,,,,
CAT-SPEC LTD,1163273,124,Q,95,LA PORTE,TX,225 S 16TH ST,77571-4608,2818671125,ksimpson@strongholdspecialtyltd.com,,,,,
US MED-EQUIP LLC,2250911,124,Q,396,HOUSTON,TX,7028  GESSNER RD,77040,8778777767,crose@USMEDEQUIP.COM,,,,,
SCOBEY MOVING & STORAGE LTD,1274056,123,Q,63,SAN ANTONIO,TX,9625 BROADWAY,78217,9156150827,Safety@centralsystems.com,,,,,
B COMM CONSTRUCTORS LLC,2422577,122,Q,94,CONVERSE,TX,11222 IH-10 EAST,78109,2102570102,ZBOYSEN@PRIM.COM,,,,,
ELKINS TRUCK LINES LLC,2356627,121,Q,136,WASKOM,TX,18149 HWY 80 E,75692,3184452879,BEN.ELKINS@ELKINSTL.COM,,,,,
"CIRCLE 8 CRANE SERVICES, LLC",8749201,121,Q,134,ROBSTOWN,TX,3174 COUNTY ROAD 48,78380-5945,3619330696,kmanning@circle8services.com,,,,,
STANDARD SALES COMPANY LP,924974,120,Q,111,ODESSA,TX,4800 E 42ND ST,79762-7214,4323677662,kdecker@standardsales.com,,,,,
PERMIAN BASIN MATERIALS LLC,2493183,120,Q,102,ODESSA,TX,4044 PENBROOK SUITE 100,79762,4325638036,ETHATCHER@PB-MATERIALS.COM,,,,,
TRI SUPPLY LLC,752082,120,Q,120,BEAUMONT,TX,7410 EASTEX FREEWAY,77708,2548998096,jabooze@trisupply.net,,,,,
TALENTO SERVICES LLC,3841225,119,Q,159,FRISCO,TX,16399 GATEWAY PATH,75078,2148431030,ADENILTOSIMOESJR@TALENTO-SERVICES.COM,,,,,
SOUTHERN FLUID SOLUTIONS LLC,3039724,118,Q,250,CENTER,TX,1061 COTTON FORD RD,75935,9365982500,andrea.estes@tristateoilfield.com,,,,,
HANWHA Q CELLS EPC USA LLC,4398539,118,Q,118,HOUSTON,TX,5051 WESTHEIMER RD SUITE 1900,77056,,GES.LICENSE@QCELLS.COM,,,,,
TROY CONSTRUCTION LLC,488929,118,Q,55,HOUSTON,TX,8521 MCHARD,77053,2814378214,cgaul@troyconstruction.com,,,,,
WEST TEXAS CEMENTERS LLC,3180036,118,Q,205,ODESSA,TX,1400 S JBS PARKWAY,79766,4327015081,safetyjoe@wtcementers.com,,,,,
BILBO TRANSPORTS INC,59898,118,Q,114,IRVING,TX,2511 EAST PIONEER DR,75061-8920,2144410021,mgeorge@bilbotransports.com,,,,,
TALKE USA INC,2908029,117,Q,96,BAYTOWN,TX,13338 HATCHERVILLE RD GATE 3,77521,8322608325,info.usa@talke.com,,,,,
INDIANA TRANSPORT LLC,2104335,116,Q,116,LAREDO,TX,402 LOGISTIC DR,78045,,jcvarela@palosgarza.com,,,,,
STERLING CRANE LLC,1288769,116,Q,126,BAYTOWN,TX,13727 INTERSTATE 10,77523,3034220434,TDELANEY@STERLINGCRANE.COM,,,,,
MPG PIPELINE CONTRACTORS LLC,1792688,116,Q,51,HOUSTON,TX,1271 RAYFORD BEND,77060,7139559901,shouse@mpg-plc.com,,,,,
WILSONART LLC,154364,115,Q,148,TEMPLE,TX,10535 NW HK DODGEN LOOP,76504,2542076606,mccallm@wilsonart.com,,,,,
AMT EXPRESS LLC,3319182,115,Q,115,GRAND PRAIRIE,TX,2080 N HIGHWAY 360 SUITE 375,75050,,taha@amtexpressllc.com,,,,,
BUOYANT ENERGY LLC,3343091,115,Q,86,MIDLAND,TX,3117 E CR 120,79706,4329247072,KERRI@BUOYANTENERGY.NET,,,,,
LITHOTRIPTERS INC,443261,115,Q,81,ROUND ROCK,TX,1990 STEAMWAY DRIVE ROUND R,78665,2106021987,PAT.ALEJOS@HEALTHTRONICS.COM,,,,,
MAVERICK EXPRESS CARRIERS LLC,2557487,115,Q,176,EAGLE PASS,TX,2000 EL INDIO HWY,78852-5452,8307765092,operations@maverickexpresscarriers.com,,,,,
GATEWAY EXPRESS LLC,2302042,114,Q,171,LAREDO,TX,1768 FM3338,78045,9564173555,tpflores@FANDAEXPRESS.COM,,,,,
WINCO TRUCKING LLC,2126776,114,Q,114,STOCKDALE,TX,2671 CR 417,78160,9366326033,rkittleson@coastalplainsllc.com,,,,,
DOXA LLC,2608633,114,Q,78,AUSTIN,TX,13740 RESEARCH BLVD SUITE L4,78750,7374447778,office@doxallc.net,,,,,
FELHER TRANSPORTATION INC,2791893,114,Q,48,EL PASO,TX,14703 CASSIDY DRIVE,79938,9152604764,FELHERTRANS@GMAIL.COM,,,,,
TAZ SERVICES LLC,3358068,113,Q,104,BEAUMONT,TX,5020 FANNETT ROAD,77705,,tazservicesllc@gmail.com,,,,,
MOONSHINE ENERGY LLC,3849260,113,Q,81,MIDLAND,TX,5006 PORTICO WAY,79707,4322693789,S.PRESLEY@MOONSHINEENERGY.COM,,,,,
MADASA CARRIERS INC,4086415,112,Q,114,LAREDO,TX,266 APPALOSA RD,78045,9565260400,safety@madasacarriers.net,,,,,
MIDTEX OIL LP,922403,112,Q,77,NEW BRAUNFELS,TX,3455 IH 35 SOUTH,78132,8306066776,MSIMPSON@MIDTEXOIL.COM,,,,,
HAZEL'S HOTSHOT INC,213831,111,Q,92,ADDISON,TX,14841 DALLAS PKWY STE 525,75254,9726208812,dustin@hazels.com,,,,,
SHOA LOGISTICS LLC,3555213,111,Q,111,ODESSA,TX,14661 WEST I-20,79763,4329002571,safety@sandhaulersofamerica.com,,,,,
A1 DEDICATED TRANSPORT LLC,3811713,111,Q,129,LEAGUE CITY,TX,2600 SOUTH SHORE BLVD SUITE 300,77573,8483093190,bperatt@waterfrontlogistics.com,,,,,
STRIKE OPERATING COMPANY LLC,1111430,111,Q,23,SPRING,TX,460 WILDWOOD FOREST DR STE 350 N,77380,8337874530,kelly.charanza@strikeusa.com,,,,,
TSD LOGISTICS INC,247898,110,Q,80,TEXARKANA,TX,7970 HAMPTON ROAD,75503,9037941423,TJONES@TSDINC.COM,,,,,
WARRIOR LOGISTICS LLC,3853627,110,Q,115,COPPELL,TX,450 N FREEPORT PKWY,75019-3508,4694968694,compliance@warriorlogistics.com,,,,,
ES EXPRESS LLC,3537190,110,Q,110,HALLSVILLE,TX,1080 SHADY LN,75650,4064044086,JERI@esexpressllc.COM,,,,,
GIBSON & ASSOCIATES INC,965682,109,Q,26,BALCH SPRINGS,TX,11210 RYLIECREST,75180,9725571199,crystalc@gibsonassoc.net,,,,,
CAPITAL REYES DISTRIBUTING LLC,3966362,109,Q,114,MANOR,TX,10095 US HIGHWAY 290 E,78653,6084063762,kgrotzke@reyesholdings.com,,,,,
ROCKING T INC,975449,109,Q,105,AMARILLO,TX,3300 S FM 1258,79118-7211,8062200524,jordi@rockingtinc.com,,,,,
COWTOWN MATERIALS INC,333653,109,Q,146,FORT WORTH,TX,401 GARDEN ACRES DR,76140,8175511805,JJONES@COWTOWNMATERIALS.COM,,,,,
SDL CARRIERS INC,3019765,108,Q,158,LAREDO,TX,22801 MINES ROAD,78045,9563249530,sdlcarriers.safety@gmail.com,,,,,
SILVERLEAF LOGISTICS LLC,4082736,108,Q,115,MONTGOMERY,TX,14810 CALDERON DR,77316,2259316642,SILVERLEAF5900@GMAIL.COM,,,,,
VERIZON DELAWARE LLC,386218,108,Q,70,IRVING,TX,700 HIDDEN RIDGE MC HQW0BH50,75038,,sonya.schroeder@verizon.com,,,,,
REPUBLIC EES LLC,1658374,107,Q,61,HOUSTON,TX,10613 W SAM HOUSTON PKWY N SUITE 300,77064,8323994500,tparsons@republicservices.com,,,,,
THE ARBOR EXPERTS LLC,2608286,107,Q,78,WEBSTER,TX,3118 FM 528 #333,77598,2817245455,INFO@THEARBOREXPERTS.COM,,,,,
YUNEX LLC,3652541,106,Q,116,AUSTIN,TX,9225 BEE CAVE RD,78733-6204,8002296090,steven.teal@yunextraffic.com,,,,,
BARRILLEAUX ENERGY SERVICES LLC,3688009,106,Q,105,CONROE,TX,8725 FAWN TRAIL,77385,9365372010,assets@BARRILLEAUXENERGYSERVICES.COM,,,,,
CLASSIC CRANE AND TRANSPORT LP,2434937,106,Q,93,MIDLAND,TX,7007 S FM 1788,79706,4326310390,ben@classicct.com,,,,,
SPUR FREIGHT SERVICES INC,2190438,106,Q,101,AUSTIN,TX,1100 E HOWARD LN STE 500,78753,,desbrown@spurfreight.com,,,,,
RANGER ENERGY SERVICES LLC,2544062,105,Q,178,HOUSTON,TX,10350 RICHMOND AVENUE SUITE 550,77042,7139358900,Eric.mcgregory@RANGERENERGY.COM,,,,,
RAMROD TRUCKING INC,213372,105,Q,86,HOUSTON,TX,3009 HOHL STREET,77093,7136995757,info@ramrodtrucking.com,,,,,
BZ EXPRESS INC,2327057,105,Q,105,HOUSTON,TX,13702 RANKIN PARK DR,77073,,zak@bzexpress.com,,,,,
SHARP OILFIELD SERVICES LLC,2121913,105,Q,105,GAINESVILLE,TX,3603 FM 51,76240,9406688774,MDAVENPORT@SHARPOILFIELDSERVICES.COM,,,,,
FUSIONSITE TEXAS LLC,1797532,104,Q,118,LUBBOCK,TX,3407 CLOVIS RD,79415,6299107131,SAFETY@FUSIONSITESERVICES.COM,,,,,
BEST TRANSPORTATION SERVICE INC,343870,104,Q,94,PASADENA,TX,13225 BAY PARK ROAD,77507,8778663903,scannone@boassoglobal.com,,,,,
FRONTIER TRANSPORT NA LP,1497855,103,Q,75,MORGAN'S POINT,TX,101 E BARBOURS CUT BLVD,77571,2813072020,dhaines@FTLG.NET,,,,,
RANGER ENERGY EQUIPMENT LLC,3017265,103,Q,100,HOUSTON,TX,10350 RICHMOND AVE,77042-4469,7139358900,eric.mcgregory@rangerenergy.com,,,,,
CONCENTRIC LLC,3208500,103,Q,427,CARROLTON,TX,1621 W CROSBY RD STE 100,75006,,carrie.gustus@concentricusa.com,,,,,
RICKY SHULER TRUCKING INC,1580758,102,Q,89,MCCAMEY,TX,316 SHELL ROAD,79752,4326523337,,,,,,
HEARTBREAK TRUCKING LLC,3056909,102,Q,103,ALICE,TX,149 CR 120,78332,,rwalker@hbgroupllc.com,,,,,
SANITATION SOLUTIONS INC,1395309,102,Q,79,PARIS,TX,2146 SOUTH CHURCH STREET,75460,9037840124,justin.bennett@wasteconnections.com,,,,,
PANHANDLE EXPRESS LLC,1592966,102,Q,59,HEREFORD,TX,3931 US HWY 60,79045,,kterry@panhandleexpress.com,,,,,
"IM4 TRANSPORT, LLC",5498864,102,Q,100,LAREDO,TX,4420 VIDAURRI AVE,78041-4079,9564825109,SAFETY@IM4TRANSPORT.COM,,,,,
G AND G OPERATORS LTD,347000,101,Q,35,DALHART,TX,907 LIBERAL,79022,8062444297,pat@gandgoperators.com,,,,,
OPEN ERA LLC,4201696,101,Q,101,EL CAMPO,TX,1084 COUNTY ROAD 479,77437-4585,4807294629,DISPATCH@OPENERALLC.COM,,,,,
MARTIN AG LLC TEXAS,4078234,101,Q,113,LITTLEFIELD,TX,1926 FM 54,79339,8063363111,SETHMARTIN@MARTINAGINC.COM,,,,,
MAC TRANSPORTATION LLC,1566508,101,Q,45,BIG SANDY,TX,395 PRIVATE ROAD 3501,75755,9037208956,BHENSON@MACTRANSPORTATIONLLC.COM,,,,,
DIGCO UTILITY CONSTRUCTION LP,1130205,101,Q,68,HOUSTON,TX,1608 MARGARET ST,77093,7133332174,dwaustin@nhplc.com,,,,,
SAMAX EXPRESS INC,2457309,100,P,100,LAREDO,TX,5615 E SAUNDERS ST,78041,,safety@samaxexpress.com,,,,,
ANDERSON PERFORATING SERVICES LLC,2001669,100,P,125,ALBANY,TX,124 WELCO ROAD,76430,3257622200,steven.sutton@apiperforarting.com,,,,,
SISU ENERGY LLC,3328258,100,P,100,FORT WORTH,TX,2400 HANDLEY EDERVILLE RD,76118,8177171616,SAFETY@SISUENERGYLLC.COM,,,,,
TEX-AIR DELIVERY INC,316754,100,P,109,GRAPEVINE,TX,2402 ESTERS BLVD,76051,8174814567,DNICKEL@TEXAIRDELIVERY.COM,,,,,
GONCO LOGISTICS LLC,3057362,100,P,100,MIDLAND,TX,10503 W COUNTY ROAD 72,79707,4322082389,Damian@goncologistics.com,,,,,
DEE KING TRUCKING LP,665223,100,P,105,AMARILLO,TX,17601 E SAINT FRANCIS AVE,79108,8063359891,DAVID@DEEKINGTRUCKING.COM,,,,,
BLUE JETT TRANSPORT LLC,3137870,100,P,125,ARLINGTON,TX,1007 ANGEL FIRE LN,76001,9034269100,bluejetttransport@gmail.com,,,,,
GOODFELLA'S LEASE LLC,2932743,100,P,50,HUNTSVILLE,TX,1423 BRAZOS DRIVE U5,77320,,mbrady@goodfellaslease.com,,,,,
ZEMEN LOGISTICS LLC,3958341,100,P,135,PLANO,TX,2404 HIGH COUNTRY WAY,75025,,zemenlogistics@gmail.com,,,,,
TABET ENTERPRISES INC,1102762,99,P,108,EL PASO,TX,12369 PINE SPRINGS DR,79928,9158528889,troy@ameritranstx.com,,,,,
FORT WORTH CARRIER CORPORATION,187365,99,P,103,FORT WORTH,TX,4501 N BEACH ST,76137,8178315488,sean@fwcarrier.com,,,,,
DOUBLE T OILFIELD SERVICE LLC,2446849,99,P,100,MIDLAND,TX,4707 E  COUNTY ROAD 133,79706,3256502693,j.lopez@doubletoil.com,,,,,
HARDROCK INFRASTRUCTURE SERVICES LLC,1605236,99,P,55,ELMENDORF,TX,21055 PRIEST RD,78112,2104032086,TIM.COVIN@HARDROCKDD.COM,,,,,
DAKOTA UTILITY CONTRACTORS LLC,988837,99,P,102,ENNIS,TX,2501 S OAK GROVE RD,75119,9728756344,NATHAN.VYERS@DAKOTAUTILITY.COM,,,,,
PAVECON LTD CO,629025,98,P,59,GRAND PRAIRIE,TX,3022 ROY ORR BLVD,75050,9722633223,donh@pavecon.com,,,,,
INDECA CRUDE XPRESS LLC,2978046,98,P,101,ODESSA,TX,13110 WEST CR 100,79765,4325632749,JESSICA@ICXUSA.NET,,,,,
WALLPORT TRANSIT XPRESS INC,1221006,98,P,98,HUTCHINS,TX,1011 W WINTERGREEN RD,75141,8173064112,jlyde@wtxpress.com,,,,,
R CONSTRUCTION COMPANY,1797639,98,P,130,BUFFALO,TX,1313 HWY 79 WEST,75831,9033224639,KEVIN.PURINGTON@RCONSTRUCTIONINC.COM,,,,,
LAND OF LIGHT TRANSPORT LLC,3701071,97,P,130,NORTH RICHLAND HILLS,TX,4925 DAVIS BLVD SUITE 205,76180,5053379493,LANDOFLIGHTTRANSPORT@GMAIL.COM,,,,,
3S ELECTRICAL DISTRIBUTION LLC,3872256,97,P,111,CARRIZO SPRINGS,TX,2535 LOOP 517,78834,8308764155,melissa.nanny@3-sservices.com,,,,,
D E RICE CONSTRUCTION COMPANY INC,368998,97,P,39,BORGER,TX,3300 S CEDAR,79008,8062747187,sstehr@derice.com,,,,,
CURTIS & SON VACUUM SERVICE INC,619741,97,P,133,LIBERTY,TX,4408 NORTH MAIN STREET,77575,,csvs@curtisandsonco.com,,,,,
ABERA TRANSPORTATION LLC,3450442,96,P,101,KERMIT,TX,1359 TX 18,79745,4693320490,ABERA9201@GMAIL.COM,,,,,
EL PASO DISPOSAL LP,427913,96,P,97,EL PASO,TX,5539 EL PASO DRIVE,79905,9157727495,SCOTTBE@WASTECONNECTIONS.COM,,,,,
SIDDONS MARTIN EMERGENCY GROUP LLC,2591277,96,P,191,HOUSTON,TX,1362 E RICHEY ROAD,77073,2816064933,cmcleod@SIDDONS-MARTIN.COM,,,,,
NATURAL GAS SERVICES GROUP INC,1141318,96,P,96,MIDLAND,TX,404 VETERANS AIRPARK LANE SUITE 300,79705,4322622700,randy.kennedy@ngsgi.com,,,,,
3 MEN MOVERS LTD,1914113,95,P,88,HOUSTON,TX,6805 SANDS POINT DR,77074,7133336683,operations@3menmovers.com,,,,,
FRANK BARTEL TRANSPORTATION INC,876456,95,P,35,AUBREY,TX,7401 S HWY 377,76227,9404403230,RFARRIS@FRANKBARTEL.COM,,,,,
LOGISTIK XPRESS LLC,3297874,95,P,130,LAREDO,TX,13514 EVOLUTION LOOP,78045,,jimenez@lk-x.com,,,,,
TRUCKA USA LLC,3436907,95,P,103,LAREDO,TX,174 GARZA JONES LN,78045,9566155962,safety@truckausa.us,,,,,
TRIMAC TRANSPORTATION GROUP INC,166893,95,P,49,PASADENA,TX,13301 BAY PARK ROAD,77507,2819850000,CTHOMAS@TRIMAC.COM,,,,,
PIPEVIEW LLC,2488538,95,P,226,AZLE,TX,13190 FM730 SOUTH,76020,,fleet@pipeviewamerica.com,,,,,
PRADON CONSTRUCTION AND TRUCKING LTD,222930,95,P,78,ODESSA,TX,249 SOLO RD,79764,4323624186,TODD@PRADON.NET,,,,,
TOP NOTCH TRANSIT LLC,3601721,95,P,95,ODESSA,TX,13318 W HWY 80 E,79765,5124703622,operations@topnotchtransitllc.com,,,,,
INTERCON CARRIERS LC,621366,94,P,125,LAREDO,TX,19810 MINES RD,78045-8684,9567186333,luz.gonzalez@safety-os.com,,,,,
VORTEX WATER,9347645,94,P,128,HOUSTON,TX,16945 NORTHCHASE DR,77060-2152,2818385443,RRYNICKI@VORTEXCOMPANIES.COM,,,,,
DAWSON GEOPHYSICAL CO,424180,94,P,92,MIDLAND,TX,2501 COMMERCE DR,79703,4328531789,austin@DAWSON3D.COM,,,,,
CRANEWORKS LLC,1450518,94,P,1,HOUSTON,TX,7795 LITTLE YORK RD,77016,2812197779,dgarza@crane-works.com,,,,,
